tottrees,Latitude,Longitude,MAP,MAT
4,-21.14909,14.69328,111,21.7
16,-21.18775,14.67602,108,21.6
8,-21.22218,14.65885,107,21.4
6,-21.23353,14.51056,84,20.9
11,-21.23786,14.63602,98,21.4
27,-21.24638,14.45288,73,20.8
9,-21.25126,14.61814,94,21.3
5,-21.25287,14.53588,84,21
21,-21.25759,14.57877,89,21.1
3,-21.28077,14.63571,98,21.2
2,-21.43983,15.05275,111,22
83,-21.45266,15.07741,110,22.1
129,-21.47578,15.04399,101,22
25,-21.47936,15.1299,130,21.6
245,-21.49967,15.04117,95,21.9
5,-21.80722,15.17999,130,20.1
9,-21.80941,15.22137,134,20.3
13,-21.81246,15.18782,131,20.1
10,-21.81277,15.18549,131,20.1
73,-21.82331,15.15077,119,20.1
105,-21.8354,15.19708,118,20.3
86,-21.83961,15.20158,118,20.3
30,-21.84022,15.20164,118,20.3
95,-21.96447,15.63039,154,21.9
10,-22.00092,15.5878,138,21.9
65,-22.03157,15.56307,127,21.9
14,-22.07032,15.54443,116,21.8
6,-22.10119,15.51591,114,21.6
3,-22.80703,15.48013,99,20.4
1,-22.81377,15.26945,60,20.1
6,-22.83091,15.40603,87,20.3
7,-22.83547,15.4379,93,20.3
72,-22.85914,15.38604,87,20.1
55,-22.86961,15.3866,87,20.1
12,-22.8891,15.68106,164,19.4
10,-22.89129,15.59688,150,19.6
70,-22.89881,15.36827,84,20
20,-22.90026,15.63615,158,19.5
6,-22.90344,15.61311,154,19.5
4,-22.91239,15.32779,75,20
1,-22.92829,15.25445,60,20
1,-22.9318,15.30106,69,20
1,-22.947,15.6204,157,19.4
2,-23.23744,16.15108,213,19
30,-23.24655,16.2601,221,18.6
35,-23.24787,16.30189,224,18
1,-23.26186,16.31714,236,16.6
8,-23.29951,15.4588,92,19.8
62,-23.31067,15.54429,114,19.5
14,-23.3529,15.85612,158,19.8
55,-23.35817,15.97395,176,19.5
13,-23.39443,15.84415,150,19.7
14,-23.42975,15.81825,141,19.8
54,-23.61989,16.13633,181,18.7
116,-23.65415,16.13705,180,18.5
69,-23.65625,16.12871,176,18.6
4,-23.65905,16.16463,191,17.7
8,-23.67049,15.86547,132,19.2
16,-23.68234,16.09997,173,18.6
2,-23.71274,15.87614,133,19
2,-23.71859,16.07409,165,18.6
18,-23.74465,16.03896,157,18.5
14,-23.76181,15.99974,155,18.3
56,-23.79618,15.97325,148,18.2
1,-23.89296,16.33753,218,16.2
9,-23.92057,16.30689,210,16.5
4,-23.94354,16.18261,164,18
